航班号,起飞时间,到达时间,出发机场,到达机场,航空公司,机型,价格
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2220
MF3532,2025-11-13 15:00:00,2025-11-13 17:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CA8680,2025-11-13 11:15:00,2025-11-13 13:05:00,大兴国际机场,浦东国际机场,中国国航,空客320(中),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1700
MF3590,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,厦门航空,空客 320-NEO(中),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1440
3U5164,2025-11-13 07:00:00,2025-11-13 09:15:00,首都国际机场,浦东国际机场,四川航空,空客 320-NEO(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1250
HO5377,2025-11-13 17:00:00,2025-11-13 19:15:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),¥2551
MU5127,2025-11-13 21:00:00,2025-11-13 23:15:00,虹桥国际机场,首都国际机场,东方航空,空客330(大),¥2740
3U5170,2025-11-13 10:00:00,2025-11-13 12:20:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),¥2050
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1350
MF3526,2025-11-13 12:00:00,2025-11-13 14:15:00,首都国际机场,虹桥国际机场,厦门航空,波音777(大),¥1130
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CA1515,2025-11-13 15:45:00,2025-11-13 17:55:00,首都国际机场,虹桥国际机场,中国国航,波音777(大),¥1700
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥1520
HU7607,2025-11-13 17:30:00,2025-11-13 19:40:00,首都国际机场,虹桥国际机场,海航｜海南航空,空客330-300(大),¥2795
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),¥2551
KN6536,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,中国联合航空,空客321(中),¥2737
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1560
CA1531,2025-11-13 10:30:00,2025-11-13 12:45:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),¥2795
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1610
HU7613,2025-11-13 10:10:00,2025-11-13 12:35:00,首都国际机场,浦东国际机场,海航｜海南航空,波音738(中),¥1520
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2551
NS8561,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,河北航空,波音737(中),¥1570
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
SC5404,2025-11-13 11:30:00,2025-11-13 13:55:00,首都国际机场,虹桥国际机场,山东航空,波音747(大),¥2420
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1520
HO5363,2025-11-13 11:00:00,2025-11-13 13:20:00,首都国际机场,虹桥国际机场,吉祥航空,空客321-200(中),¥2551
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1490
MU5118,2025-11-13 16:00:00,2025-11-13 18:15:00,首都国际机场,虹桥国际机场,东方航空,空客330-300(大),¥1700
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥2737
SC5402,2025-11-13 10:55:00,2025-11-13 13:25:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),¥1160
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2080
MU3747,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,东方航空,空客321(中),¥2040
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2160
MF3530,2025-11-13 14:00:00,2025-11-13 16:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330-300(大),¥1202
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
CZ8887,2025-11-13 16:20:00,2025-11-13 18:35:00,大兴国际机场,虹桥国际机场,南方航空,空客350(大),¥2100
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),¥1060
MF3602,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,厦门航空,空客321(中),¥1565
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5184,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,东方航空,空客 320-NEO(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2795
MU4706,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,东方航空,波音737(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MU5154,2025-11-13 11:30:00,2025-11-13 13:30:00,首都国际机场,浦东国际机场,东方航空,空客320(中),¥1710
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2740
MF3518,2025-11-13 08:00:00,2025-11-13 10:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330-300(大),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1670
CA1523,2025-11-13 10:55:00,2025-11-13 13:25:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),¥1815
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥1040
HU7611,2025-11-13 15:55:00,2025-11-13 18:15:00,首都国际机场,浦东国际机场,海航｜海南航空,波音738(中),¥1560
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2950
SC5390,2025-11-13 11:15:00,2025-11-13 13:05:00,大兴国际机场,浦东国际机场,山东航空,空客320(中),¥2740
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥3070
MF3524,2025-11-13 11:00:00,2025-11-13 13:20:00,首都国际机场,虹桥国际机场,厦门航空,空客321-200(中),¥1510
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),¥2270
CA1517,2025-11-13 13:30:00,2025-11-13 16:05:00,首都国际机场,虹桥国际机场,中国国航,波音777(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HU7605,2025-11-13 16:00:00,2025-11-13 18:00:00,首都国际机场,虹桥国际机场,海航｜海南航空,空客330(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
HO5391,2025-11-13 15:00:00,2025-11-13 17:15:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3570,2025-11-13 13:30:00,2025-11-13 15:35:00,首都国际机场,虹桥国际机场,厦门航空,空客321-200(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5196,2025-11-13 14:30:00,2025-11-13 16:40:00,首都国际机场,浦东国际机场,四川航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CZ1957,2025-11-13 08:05:00,2025-11-13 10:15:00,大兴国际机场,虹桥国际机场,南方航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CA1835,2025-11-13 08:30:00,2025-11-13 10:50:00,首都国际机场,浦东国际机场,中国国航,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5178,2025-11-13 14:00:00,2025-11-13 16:15:00,首都国际机场,虹桥国际机场,四川航空,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U2083,2025-11-13 13:00:00,2025-11-13 14:55:00,大兴国际机场,虹桥国际机场,四川航空,波音737(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5418,2025-11-13 15:45:00,2025-11-13 17:55:00,首都国际机场,虹桥国际机场,山东航空,波音777(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
CA1501,2025-11-13 08:30:00,2025-11-13 10:55:00,首都国际机场,虹桥国际机场,中国国航,空客350(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3534,2025-11-13 16:00:00,2025-11-13 18:15:00,首都国际机场,虹桥国际机场,厦门航空,空客330-300(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
CA1507,2025-11-13 07:30:00,2025-11-13 09:55:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5112,2025-11-13 13:00:00,2025-11-13 15:05:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
ZH5148,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,深圳航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5172,2025-11-13 11:00:00,2025-11-13 13:20:00,首都国际机场,虹桥国际机场,四川航空,空客321-200(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3552,2025-11-13 07:20:00,2025-11-13 09:25:00,大兴国际机场,虹桥国际机场,厦门航空,空客320(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5156,2025-11-13 13:30:00,2025-11-13 15:35:00,首都国际机场,虹桥国际机场,东方航空,空客321-200(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO5387,2025-11-13 10:00:00,2025-11-13 12:20:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CZ8885,2025-11-13 13:00:00,2025-11-13 14:55:00,大兴国际机场,虹桥国际机场,南方航空,波音737(中),
CZ8888,2025-11-13 19:50:00,2025-11-13 22:10:00,虹桥国际机场,大兴国际机场,南方航空,空客350(大),
MF3516,2025-11-13 07:00:00,2025-11-13 09:15:00,首都国际机场,浦东国际机场,厦门航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
G59433,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,华夏航空,波音737(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CA1521,2025-11-13 14:30:00,2025-11-13 16:55:00,首都国际机场,虹桥国际机场,中国国航,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5412,2025-11-13 13:30:00,2025-11-13 16:05:00,首都国际机场,虹桥国际机场,山东航空,波音777(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
ZH4930,2025-11-13 11:15:00,2025-11-13 13:05:00,大兴国际机场,浦东国际机场,深圳航空,空客320(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5182,2025-11-13 16:00:00,2025-11-13 18:15:00,首都国际机场,虹桥国际机场,四川航空,空客330-300(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
MU5104,2025-11-13 09:00:00,2025-11-13 11:10:00,首都国际机场,虹桥国际机场,东方航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3568,2025-11-13 11:30:00,2025-11-13 13:30:00,首都国际机场,浦东国际机场,厦门航空,空客320(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO5448,2025-11-13 07:00:00,2025-11-13 09:15:00,首都国际机场,浦东国际机场,吉祥航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CA1549,2025-11-13 16:30:00,2025-11-13 18:45:00,首都国际机场,虹桥国际机场,中国国航,波音777(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
MF3580,2025-11-13 08:05:00,2025-11-13 10:15:00,大兴国际机场,虹桥国际机场,厦门航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5759,2025-11-13 08:15:00,2025-11-13 10:20:00,首都国际机场,浦东国际机场,山东航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5108,2025-11-13 11:00:00,2025-11-13 13:20:00,首都国际机场,虹桥国际机场,东方航空,空客321-200(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U4538,2025-11-13 11:55:00,2025-11-13 14:10:00,大兴国际机场,浦东国际机场,四川航空,空客321(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO5359,2025-11-13 13:00:00,2025-11-13 15:05:00,首都国际机场,虹桥国际机场,吉祥航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
KN6524,2025-11-13 15:50:00,2025-11-13 18:05:00,大兴国际机场,虹桥国际机场,中国联合航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5416,2025-11-13 08:30:00,2025-11-13 10:50:00,首都国际机场,浦东国际机场,山东航空,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5114,2025-11-13 14:00:00,2025-11-13 16:15:00,首都国际机场,虹桥国际机场,东方航空,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
Y87613,2025-11-13 10:10:00,2025-11-13 12:35:00,首都国际机场,浦东国际机场,海航｜金鹏航空,波音738(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5394,2025-11-13 07:30:00,2025-11-13 09:55:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3572,2025-11-13 14:30:00,2025-11-13 16:40:00,首都国际机场,浦东国际机场,厦门航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U2657,2025-11-13 09:25:00,2025-11-13 11:30:00,大兴国际机场,浦东国际机场,四川航空,波音737(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO7677,2025-11-13 09:00:00,2025-11-13 11:10:00,大兴国际机场,虹桥国际机场,吉祥航空,空客350(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5422,2025-11-13 17:30:00,2025-11-13 20:00:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),
CA1510,2025-11-13 21:30:00,2025-11-13 23:45:00,虹桥国际机场,首都国际机场,中国国航,空客330(大),
HO7681,2025-11-13 13:00:00,2025-11-13 14:55:00,大兴国际机场,虹桥国际机场,吉祥航空,波音737(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5138,2025-11-13 07:20:00,2025-11-13 09:25:00,大兴国际机场,虹桥国际机场,东方航空,空客320(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3520,2025-11-13 09:00:00,2025-11-13 11:10:00,首都国际机场,虹桥国际机场,厦门航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HO5384,2025-11-13 08:00:00,2025-11-13 10:15:00,首都国际机场,虹桥国际机场,吉祥航空,空客330-300(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
HU7601,2025-11-13 07:25:00,2025-11-13 09:35:00,首都国际机场,虹桥国际机场,海航｜海南航空,波音787(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U2085,2025-11-13 16:20:00,2025-11-13 18:35:00,大兴国际机场,虹桥国际机场,四川航空,空客350(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
HO5417,2025-11-13 14:30:00,2025-11-13 16:40:00,首都国际机场,浦东国际机场,吉祥航空,空客 320-NEO(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5174,2025-11-13 12:00:00,2025-11-13 14:15:00,首都国际机场,虹桥国际机场,四川航空,波音777(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
SC5420,2025-11-13 16:30:00,2025-11-13 18:45:00,首都国际机场,虹桥国际机场,山东航空,波音777(大),
KN5956,2025-11-13 20:40:00,2025-11-13 22:55:00,虹桥国际机场,大兴国际机场,中国联合航空,波音737(中),
SC5414,2025-11-13 14:30:00,2025-11-13 16:55:00,首都国际机场,虹桥国际机场,山东航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
CA1557,2025-11-13 11:30:00,2025-11-13 13:55:00,首都国际机场,虹桥国际机场,中国国航,波音747(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MF3566,2025-11-13 08:30:00,2025-11-13 10:50:00,首都国际机场,浦东国际机场,厦门航空,空客321-200(中),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5180,2025-11-13 15:00:00,2025-11-13 17:15:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
3U5168,2025-11-13 09:00:00,2025-11-13 11:10:00,首都国际机场,虹桥国际机场,四川航空,空客330(大),
MU5185,2025-11-13 21:05:00,2025-11-13 23:20:00,浦东国际机场,大兴国际机场,东方航空,空客330(大),
MU5196,2025-11-13 13:00:00,2025-11-13 15:00:00,大兴国际机场,浦东国际机场,东方航空,空客321(中),
